cd,var,edu,percent
1207,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",17.8
1208,no_cert,"No certificate, diploma or degree",22.6
1208,high_school,Secondary (high) school diploma or equivalency certificate,25.6
1208,app_trade,Apprenticeship or trades certificate or diploma,11.9
1208,college_degep,"College, CEGEP or other non-university certificate or diploma",23.9
1208,uni_below_bach,University certificate or diploma below bachelor level,2.3
1208,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",13.6
1209,no_cert,"No certificate, diploma or degree",14.7
1209,high_school,Secondary (high) school diploma or equivalency certificate,25.3
1209,app_trade,Apprenticeship or trades certificate or diploma,7.8
1209,college_degep,"College, CEGEP or other non-university certificate or diploma",20.8
1209,uni_below_bach,University certificate or diploma below bachelor level,2.3
1209,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",29.1
1210,no_cert,"No certificate, diploma or degree",21.6
1210,high_school,Secondary (high) school diploma or equivalency certificate,27.7
1210,app_trade,Apprenticeship or trades certificate or diploma,10.4
1210,college_degep,"College, CEGEP or other non-university certificate or diploma",22.6
1210,uni_below_bach,University certificate or diploma below bachelor level,2.1
1210,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",15.7
1211,no_cert,"No certificate, diploma or degree",24.5
1211,high_school,Secondary (high) school diploma or equivalency certificate,28.4
1211,app_trade,Apprenticeship or trades certificate or diploma,10
1211,college_degep,"College, CEGEP or other non-university certificate or diploma",24.1
1211,uni_below_bach,University certificate or diploma below bachelor level,1.8
1211,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.1
1212,no_cert,"No certificate, diploma or degree",22.4
1212,high_school,Secondary (high) school diploma or equivalency certificate,24.7
1212,app_trade,Apprenticeship or trades certificate or diploma,11.8
1212,college_degep,"College, CEGEP or other non-university certificate or diploma",24.5
1212,uni_below_bach,University certificate or diploma below bachelor level,2.6
1212,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",14
1213,no_cert,"No certificate, diploma or degree",34.2
1213,high_school,Secondary (high) school diploma or equivalency certificate,23.2
1213,app_trade,Apprenticeship or trades certificate or diploma,12.6
1213,college_degep,"College, CEGEP or other non-university certificate or diploma",20.1
1213,uni_below_bach,University certificate or diploma below bachelor level,2.3
1213,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.7
1214,no_cert,"No certificate, diploma or degree",17.3
1214,high_school,Secondary (high) school diploma or equivalency certificate,22.2
1214,app_trade,Apprenticeship or trades certificate or diploma,12.1
1214,college_degep,"College, CEGEP or other non-university certificate or diploma",22
1214,uni_below_bach,University certificate or diploma below bachelor level,2.7
1214,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",23.8
1215,no_cert,"No certificate, diploma or degree",21.1
1215,high_school,Secondary (high) school diploma or equivalency certificate,22.4
1215,app_trade,Apprenticeship or trades certificate or diploma,15.6
1215,college_degep,"College, CEGEP or other non-university certificate or diploma",23.6
1215,uni_below_bach,University certificate or diploma below bachelor level,3
1215,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",14.3
1216,no_cert,"No certificate, diploma or degree",28
1216,high_school,Secondary (high) school diploma or equivalency certificate,20.6
1216,app_trade,Apprenticeship or trades certificate or diploma,14.8
1216,college_degep,"College, CEGEP or other non-university certificate or diploma",24
1216,uni_below_bach,University certificate or diploma below bachelor level,2.4
1216,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.2
1217,no_cert,"No certificate, diploma or degree",23.4
1217,high_school,Secondary (high) school diploma or equivalency certificate,26.6
1217,app_trade,Apprenticeship or trades certificate or diploma,12.3
1217,college_degep,"College, CEGEP or other non-university certificate or diploma",20.2
1217,uni_below_bach,University certificate or diploma below bachelor level,2.8
1217,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",14.6
1218,no_cert,"No certificate, diploma or degree",24.4
1218,high_school,Secondary (high) school diploma or equivalency certificate,26.3
1218,app_trade,Apprenticeship or trades certificate or diploma,12.2
1218,college_degep,"College, CEGEP or other non-university certificate or diploma",18
1218,uni_below_bach,University certificate or diploma below bachelor level,3.5
1218,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",15.7
1301,no_cert,"No certificate, diploma or degree",19.4
1301,high_school,Secondary (high) school diploma or equivalency certificate,33.1
1301,app_trade,Apprenticeship or trades certificate or diploma,8
1301,college_degep,"College, CEGEP or other non-university certificate or diploma",22.4
1301,uni_below_bach,University certificate or diploma below bachelor level,1.7
1301,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",15.4
1302,no_cert,"No certificate, diploma or degree",21.2
1302,high_school,Secondary (high) school diploma or equivalency certificate,31.4
1302,app_trade,Apprenticeship or trades certificate or diploma,9.8
1302,college_degep,"College, CEGEP or other non-university certificate or diploma",23.2
1302,uni_below_bach,University certificate or diploma below bachelor level,2.1
1302,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.3
1303,no_cert,"No certificate, diploma or degree",19.5
1303,high_school,Secondary (high) school diploma or equivalency certificate,35.2
1303,app_trade,Apprenticeship or trades certificate or diploma,9.7
1303,college_degep,"College, CEGEP or other non-university certificate or diploma",22
1303,uni_below_bach,University certificate or diploma below bachelor level,1.1
1303,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.5
1304,no_cert,"No certificate, diploma or degree",24.5
1304,high_school,Secondary (high) school diploma or equivalency certificate,34.6
1304,app_trade,Apprenticeship or trades certificate or diploma,11
1304,college_degep,"College, CEGEP or other non-university certificate or diploma",19.5
1304,uni_below_bach,University certificate or diploma below bachelor level,2.1
1304,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8.2
1305,no_cert,"No certificate, diploma or degree",16.1
1305,high_school,Secondary (high) school diploma or equivalency certificate,29.1
1305,app_trade,Apprenticeship or trades certificate or diploma,9.3
1305,college_degep,"College, CEGEP or other non-university certificate or diploma",23.5
1305,uni_below_bach,University certificate or diploma below bachelor level,1.7
1305,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",20.3
1306,no_cert,"No certificate, diploma or degree",16.2
1306,high_school,Secondary (high) school diploma or equivalency certificate,30.8
1306,app_trade,Apprenticeship or trades certificate or diploma,8.4
1306,college_degep,"College, CEGEP or other non-university certificate or diploma",25.9
1306,uni_below_bach,University certificate or diploma below bachelor level,2
1306,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",16.7
1307,no_cert,"No certificate, diploma or degree",18.4
1307,high_school,Secondary (high) school diploma or equivalency certificate,27.7
1307,app_trade,Apprenticeship or trades certificate or diploma,7.9
1307,college_degep,"College, CEGEP or other non-university certificate or diploma",24
1307,uni_below_bach,University certificate or diploma below bachelor level,2
1307,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",20
1308,no_cert,"No certificate, diploma or degree",34.9
1308,high_school,Secondary (high) school diploma or equivalency certificate,23.6
1308,app_trade,Apprenticeship or trades certificate or diploma,9.3
1308,college_degep,"College, CEGEP or other non-university certificate or diploma",21
1308,uni_below_bach,University certificate or diploma below bachelor level,1.7
1308,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.5
1309,no_cert,"No certificate, diploma or degree",27
1309,high_school,Secondary (high) school diploma or equivalency certificate,30
1309,app_trade,Apprenticeship or trades certificate or diploma,9.8
1309,college_degep,"College, CEGEP or other non-university certificate or diploma",21.4
1309,uni_below_bach,University certificate or diploma below bachelor level,1.4
1309,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.5
1310,no_cert,"No certificate, diploma or degree",14.1
1310,high_school,Secondary (high) school diploma or equivalency certificate,27.6
1310,app_trade,Apprenticeship or trades certificate or diploma,7.1
1310,college_degep,"College, CEGEP or other non-university certificate or diploma",20.1
1310,uni_below_bach,University certificate or diploma below bachelor level,1.7
1310,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",29.4
1311,no_cert,"No certificate, diploma or degree",21.6
1311,high_school,Secondary (high) school diploma or equivalency certificate,32.9
1311,app_trade,Apprenticeship or trades certificate or diploma,9.4
1311,college_degep,"College, CEGEP or other non-university certificate or diploma",22.8
1311,uni_below_bach,University certificate or diploma below bachelor level,1.6
1311,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.9
1312,no_cert,"No certificate, diploma or degree",26
1312,high_school,Secondary (high) school diploma or equivalency certificate,33.4
1312,app_trade,Apprenticeship or trades certificate or diploma,9.6
1312,college_degep,"College, CEGEP or other non-university certificate or diploma",17.9
1312,uni_below_bach,University certificate or diploma below bachelor level,2.1
1312,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.9
1313,no_cert,"No certificate, diploma or degree",27.1
1313,high_school,Secondary (high) school diploma or equivalency certificate,28.5
1313,app_trade,Apprenticeship or trades certificate or diploma,13.1
1313,college_degep,"College, CEGEP or other non-university certificate or diploma",15.5
1313,uni_below_bach,University certificate or diploma below bachelor level,2.3
1313,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",13.5
1314,no_cert,"No certificate, diploma or degree",31
1314,high_school,Secondary (high) school diploma or equivalency certificate,23.4
1314,app_trade,Apprenticeship or trades certificate or diploma,11
1314,college_degep,"College, CEGEP or other non-university certificate or diploma",23
1314,uni_below_bach,University certificate or diploma below bachelor level,1.7
1314,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.8
1315,no_cert,"No certificate, diploma or degree",34.4
1315,high_school,Secondary (high) school diploma or equivalency certificate,22
1315,app_trade,Apprenticeship or trades certificate or diploma,11.3
1315,college_degep,"College, CEGEP or other non-university certificate or diploma",19.2
1315,uni_below_bach,University certificate or diploma below bachelor level,2.5
1315,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.5
2401,no_cert,"No certificate, diploma or degree",30.6
2401,high_school,Secondary (high) school diploma or equivalency certificate,18.4
2401,app_trade,Apprenticeship or trades certificate or diploma,18.7
2401,college_degep,"College, CEGEP or other non-university certificate or diploma",18.1
2401,uni_below_bach,University certificate or diploma below bachelor level,3.2
2401,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.1
2402,no_cert,"No certificate, diploma or degree",37.4
2402,high_school,Secondary (high) school diploma or equivalency certificate,21.7
2402,app_trade,Apprenticeship or trades certificate or diploma,17.3
2402,college_degep,"College, CEGEP or other non-university certificate or diploma",14
2402,uni_below_bach,University certificate or diploma below bachelor level,2.2
2402,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.4
2403,no_cert,"No certificate, diploma or degree",28.5
2403,high_school,Secondary (high) school diploma or equivalency certificate,18
2403,app_trade,Apprenticeship or trades certificate or diploma,18.4
2403,college_degep,"College, CEGEP or other non-university certificate or diploma",19.8
2403,uni_below_bach,University certificate or diploma below bachelor level,2.9
2403,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.6
2404,no_cert,"No certificate, diploma or degree",37.4
2404,high_school,Secondary (high) school diploma or equivalency certificate,17
2404,app_trade,Apprenticeship or trades certificate or diploma,21.5
2404,college_degep,"College, CEGEP or other non-university certificate or diploma",12.8
2404,uni_below_bach,University certificate or diploma below bachelor level,2.9
2404,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8.5
2405,no_cert,"No certificate, diploma or degree",26.1
2405,high_school,Secondary (high) school diploma or equivalency certificate,21.1
2405,app_trade,Apprenticeship or trades certificate or diploma,23.2
2405,college_degep,"College, CEGEP or other non-university certificate or diploma",17
2405,uni_below_bach,University certificate or diploma below bachelor level,2.8
2405,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.9
2406,no_cert,"No certificate, diploma or degree",25.8
2406,high_school,Secondary (high) school diploma or equivalency certificate,19.5
2406,app_trade,Apprenticeship or trades certificate or diploma,21.3
2406,college_degep,"College, CEGEP or other non-university certificate or diploma",17.7
2406,uni_below_bach,University certificate or diploma below bachelor level,3.6
2406,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.1
2407,no_cert,"No certificate, diploma or degree",29
2407,high_school,Secondary (high) school diploma or equivalency certificate,19.7
2407,app_trade,Apprenticeship or trades certificate or diploma,26.2
2407,college_degep,"College, CEGEP or other non-university certificate or diploma",15.1
2407,uni_below_bach,University certificate or diploma below bachelor level,2.4
2407,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.6
2408,no_cert,"No certificate, diploma or degree",27.6
2408,high_school,Secondary (high) school diploma or equivalency certificate,20.6
2408,app_trade,Apprenticeship or trades certificate or diploma,22.7
2408,college_degep,"College, CEGEP or other non-university certificate or diploma",16.6
2408,uni_below_bach,University certificate or diploma below bachelor level,2.9
2408,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.6
2409,no_cert,"No certificate, diploma or degree",28
2409,high_school,Secondary (high) school diploma or equivalency certificate,22.7
2409,app_trade,Apprenticeship or trades certificate or diploma,23.4
2409,college_degep,"College, CEGEP or other non-university certificate or diploma",14
2409,uni_below_bach,University certificate or diploma below bachelor level,2.8
2409,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.2
2410,no_cert,"No certificate, diploma or degree",16.3
2410,high_school,Secondary (high) school diploma or equivalency certificate,20.7
2410,app_trade,Apprenticeship or trades certificate or diploma,18.2
2410,college_degep,"College, CEGEP or other non-university certificate or diploma",21.3
2410,uni_below_bach,University certificate or diploma below bachelor level,3.9
2410,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",19.6
2411,no_cert,"No certificate, diploma or degree",28.6
2411,high_school,Secondary (high) school diploma or equivalency certificate,21.8
2411,app_trade,Apprenticeship or trades certificate or diploma,23
